Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to be ],ESSERE, INDICATIVO, PRESENTE, io sono, tu sei, lui/lei è, noi siamo, voi siete, loro sono
[to be ],ESSERE, INDICATIVO, IMPERFETTO, io ero, tu eri, lui/lei era, noi eravamo, voi eravate, loro erano
[to be ],ESSERE, INDICATIVO, PASSATO REMOTO, io fui, tu fosti, lui/lei fu, noi fummo, voi foste, loro furono
[to be ],ESSERE, INDICATIVO, FUTURO SEMPLICE, io sarò, tu sarai, lui/lei sarà, noi saremo, voi sarete, loro saranno
[to be ],ESSERE, INDICATIVO, PASSATO PROSSIMO, io sono stato/a, tu sei stato/a, lui/lei è stato/a, noi siamo stati/e, voi siete stati/e, loro sono stati/e
[to be ],ESSERE, INDICATIVO, TRAPASSATO PROSSIMO, io ero stato/a, tu eri stato/a, lui/lei era stato/a, noi eravamo stati/e, voi eravate stati/e, loro erano stati/e
[to be ],ESSERE, INDICATIVO, TRAPASSATO REMOTO, io fui stato/a, tu fosti stato/a, lui/lei fu stato/a, noi fummo stati/e, voi foste stati/e, loro furono stati/e
[to be ],ESSERE, INDICATIVO, FUTURO ANTERIORE, io sarò stato/a, tu sarai stato/a, lui/lei sarà stato/a, noi saremo stati/e, voi sarete stati/e, loro saranno stati/e
[to be ],ESSERE, CONGIUNTIVO, PRESENTE, che io sia, che tu sia, che lui/lei sia, che noi siamo, che voi siate, che loro siano
[to be ],ESSERE, CONGIUNTIVO, IMPERFETTO, che io fossi, che tu fossi, che lui/lei fosse, che noi fossimo, che voi foste, che loro fossero
[to be ],ESSERE, CONGIUNTIVO, PASSATO, che io sia stato/a, che tu sia stato/a, che lui/lei sia stato/a, che noi siamo stati/e, che voi siate stati/e, che loro siano stati/e
[to be ],ESSERE, CONGIUNTIVO, TRAPASSATO, che io fossi stato/a, che tu fossi stato/a, che lui/lei fosse stato/a, che noi fossimo stati/e, che voi foste stati/e, che loro fossero stati/e
[to be ],ESSERE, CONDIZIONALE, Presente, io sarei, tu saresti, lui/lei sarebbe, noi saremmo, voi sareste, loro sarebbero
[to be ],ESSERE, CONDIZIONALE, Passato, io sarei stato/a, tu saresti stato/a, lui/lei sarebbe stato/a, noi saremmo stati/e, voi sareste stati/e, loro sarebbero stati/e
[to be ],ESSERE, IMPERATIVO, IMPERATIVO, PRESENTE,  sii, sia, siamo, siate, siano
[to go ],ANDARE, INDICATIVO, PRESENTE, io vado, tu vai, lui/lei va, noi andiamo, voi andate, loro vanno
[to go ],ANDARE, INDICATIVO, IMPERFETTO, io andavo, tu andavi, lui/lei andava, noi andavamo, voi andavate, loro andavano
[to go ],ANDARE, INDICATIVO, PASSATO REMOTO, io andai, tu andasti, lui/lei andò, noi andammo, voi andaste, loro andarono
[to go ],ANDARE, INDICATIVO, FUTURO SEMPLICE, io andrò, tu andrai, lui/lei andrà, noi andremo, voi andrete, loro andranno
[to go ],ANDARE, INDICATIVO, PASSATO PROSSIMO, io sono andato/a, tu sei andato/a, lui/lei è andato/a, noi siamo andati/e, voi siete andati/e, loro sono andati/e
[to go ],ANDARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero andato/a, tu eri andato/a, lui/lei era andato/a, noi eravamo andati/e, voi eravate andati/e, loro erano andati/e
[to go ],ANDARE, INDICATIVO, TRAPASSATO REMOTO, io fui andato/a, tu fosti andato/a, lui/lei fu andato/a, noi fummo andati/e, voi foste andati/e, loro furono andati/e
[to go ],ANDARE, INDICATIVO, FUTURO ANTERIORE, io sarò andato/a, tu sarai andato/a, lui/lei sarà andato/a, noi saremo andati/e, voi sarete andati/e, loro saranno andati/e
[to go ],ANDARE, CONGIUNTIVO, PRESENTE, che io vada, che tu vada, che lui/lei vada, che noi andiamo, che voi andiate, che loro vadano
[to go ],ANDARE, CONGIUNTIVO, IMPERFETTO, che io andassi, che tu andassi, che lui/lei andasse, che noi andassimo, che voi andaste, che loro andassero
[to go ],ANDARE, CONGIUNTIVO, PASSATO, che io sia andato/a, che tu sia andato/a, che lui/lei sia andato/a, che noi siamo andati/e, che voi siate andati/e, che loro siano andati/e
[to go ],ANDARE, CONGIUNTIVO, TRAPASSATO, che io fossi andato/a, che tu fossi andato/a, che lui/lei fosse andato/a, che noi fossimo andati/e, che voi foste andati/e, che loro fossero andati/e
[to go ],ANDARE, CONDIZIONALE, Presente, io andrei, tu andresti, lui/lei andrebbe, noi andremmo, voi andreste, loro andrebbero
[to go ],ANDARE, CONDIZIONALE, Passato, io sarei andato/a, tu saresti andato/a, lui/lei sarebbe andato/a, noi saremmo andati/e, voi sareste andati/e, loro sarebbero andati/e
[to go ],ANDARE, IMPERATIVO, IMPERATIVO, PRESENTE,  va, vai, va', vada, andiamo
[to study ],STUDIARE, INDICATIVO, PRESENTE, io studio, tu studi, lui/lei studia, noi studiamo, voi studiate, loro studiano
[to study ],STUDIARE, INDICATIVO, IMPERFETTO, io studiavo, tu studiavi, lui/lei studiava, noi studiavamo, voi studiavate, loro studiavano
[to study ],STUDIARE, INDICATIVO, PASSATO REMOTO, io studiai, tu studiasti, lui/lei studiò, noi studiammo, voi studiaste, loro studiarono
[to study ],STUDIARE, INDICATIVO, FUTURO SEMPLICE, io studierò, tu studierai, lui/lei studierà, noi studieremo, voi studierete, loro studieranno
[to study ],STUDIARE, INDICATIVO, PASSATO PROSSIMO, io ho studiato, tu hai studiato, lui/lei ha studiato, noi abbiamo studiato, voi avete studiato, loro hanno studiato
[to study ],STUDIARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo studiato, tu avevi studiato, lui/lei aveva studiato, noi avevamo studiato, voi avevate studiato, loro avevano studiato
[to study ],STUDIARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi studiato, tu avesti studiato, lui/lei ebbe studiato, noi avemmo studiato, voi aveste studiato, loro ebbero studiato
[to study ],STUDIARE, INDICATIVO, FUTURO ANTERIORE, io avrò studiato, tu avrai studiato, lui/lei avrà studiato, noi avremo studiato, voi avrete studiato, loro avranno studiato
[to study ],STUDIARE, CONGIUNTIVO, PRESENTE, che io studi, che tu studi, che lui/lei studi, che noi studiamo, che voi studiate, che loro studino
[to study ],STUDIARE, CONGIUNTIVO, IMPERFETTO, che io studiassi, che tu studiassi, che lui/lei studiasse, che noi studiassimo, che voi studiaste, che loro studiassero
[to study ],STUDIARE, CONGIUNTIVO, PASSATO, che io abbia studiato, che tu abbia studiato, che lui/lei abbia studiato, che noi abbiamo studiato, che voi abbiate studiato, che loro abbiano studiato
[to study ],STUDIARE, CONGIUNTIVO, TRAPASSATO, che io avessi studiato, che tu avessi studiato, che lui/lei avesse studiato, che noi avessimo studiato, che voi aveste studiato, che loro avessero studiato
[to study ],STUDIARE, CONDIZIONALE, Presente, io studierei, tu studieresti, lui/lei studierebbe, noi studieremmo, voi studiereste, loro studierebbero
[to study ],STUDIARE, CONDIZIONALE, Passato, io avrei studiato, tu avresti studiato, lui/lei avrebbe studiato, noi avremmo studiato, voi avreste studiato, loro avrebbero studiato
[to study ],STUDIARE, IMPERATIVO, IMPERATIVO, PRESENTE,  studia, studi, studiamo, studiate, studino
[to come ],VENIRE, INDICATIVO, PRESENTE, io vengo, tu vieni, lui/lei viene, noi veniamo, voi venite, loro vengono
[to come ],VENIRE, INDICATIVO, IMPERFETTO, io venivo, tu venivi, lui/lei veniva, noi venivamo, voi venivate, loro venivano
[to come ],VENIRE, INDICATIVO, PASSATO REMOTO, io venni, tu venisti, lui/lei venne, noi venimmo, voi veniste, loro vennero
[to come ],VENIRE, INDICATIVO, FUTURO SEMPLICE, io verrò, tu verrai, lui/lei verrà, noi verremo, voi verrete, loro verranno
[to come ],VENIRE, INDICATIVO, PASSATO PROSSIMO, io sono venuto/a, tu sei venuto/a, lui/lei è venuto/a, noi siamo venuti/e, voi siete venuti/e, loro sono venuti/e
[to come ],VENIRE, INDICATIVO, TRAPASSATO PROSSIMO, io ero venuto/a, tu eri venuto/a, lui/lei era venuto/a, noi eravamo venuti/e, voi eravate venuti/e, loro erano venuti/e
[to come ],VENIRE, INDICATIVO, TRAPASSATO REMOTO, io fui venuto/a, tu fosti venuto/a, lui/lei fu venuto/a, noi fummo venuti/e, voi foste venuti/e, loro furono venuti/e
[to come ],VENIRE, INDICATIVO, FUTURO ANTERIORE, io sarò venuto/a, tu sarai venuto/a, lui/lei sarà venuto/a, noi saremo venuti/e, voi sarete venuti/e, loro saranno venuti/e
[to come ],VENIRE, CONGIUNTIVO, PRESENTE, che io venga, che tu venga, che lui/lei venga, che noi veniamo, che voi veniate, che loro vengano
[to come ],VENIRE, CONGIUNTIVO, IMPERFETTO, che io venissi, che tu venissi, che lui/lei venisse, che noi venissimo, che voi veniste, che loro venissero
[to come ],VENIRE, CONGIUNTIVO, PASSATO, che io sia venuto/a, che tu sia venuto/a, che lui/lei sia venuto/a, che noi siamo venuti/e, che voi siate venuti/e, che loro siano venuti/e
[to come ],VENIRE, CONGIUNTIVO, TRAPASSATO, che io fossi venuto/a, che tu fossi venuto/a, che lui/lei fosse venuto/a, che noi fossimo venuti/e, che voi foste venuti/e, che loro fossero venuti/e
[to come ],VENIRE, CONDIZIONALE, Presente, io verrei, tu verresti, lui/lei verrebbe, noi verremmo, voi verreste, loro verrebbero
[to come ],VENIRE, CONDIZIONALE, Passato, io sarei venuto/a, tu saresti venuto/a, lui/lei sarebbe venuto/a, noi saremmo venuti/e, voi sareste venuti/e, loro sarebbero venuti/e
[to come ],VENIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  vieni, venga, veniamo, venite, vengano
[to exit/leave ],USCIRE, INDICATIVO, PRESENTE, io esco, tu esci, lui/lei esce, noi usciamo, voi uscite, loro escono
[to exit/leave ],USCIRE, INDICATIVO, IMPERFETTO, io uscivo, tu uscivi, lui/lei usciva, noi uscivamo, voi uscivate, loro uscivano
[to exit/leave ],USCIRE, INDICATIVO, PASSATO REMOTO, io uscii, tu uscisti, lui/lei uscì, noi uscimmo, voi usciste, loro uscirono
[to exit/leave ],USCIRE, INDICATIVO, FUTURO SEMPLICE, io uscirò, tu uscirai, lui/lei uscirà, noi usciremo, voi uscirete, loro usciranno
[to exit/leave ],USCIRE, INDICATIVO, PASSATO PROSSIMO, io sono uscito/a, tu sei uscito/a, lui/lei è uscito/a, noi siamo usciti/e, voi siete usciti/e, loro sono usciti/e
[to exit/leave ],USCIRE, INDICATIVO, TRAPASSATO PROSSIMO, io ero uscito/a, tu eri uscito/a, lui/lei era uscito/a, noi eravamo usciti/e, voi eravate usciti/e, loro erano usciti/e
[to exit/leave ],USCIRE, INDICATIVO, TRAPASSATO REMOTO, io fui uscito/a, tu fosti uscito/a, lui/lei fu uscito/a, noi fummo usciti/e, voi foste usciti/e, loro furono usciti/e
[to exit/leave ],USCIRE, INDICATIVO, FUTURO ANTERIORE, io sarò uscito/a, tu sarai uscito/a, lui/lei sarà uscito/a, noi saremo usciti/e, voi sarete usciti/e, loro saranno usciti/e
[to exit/leave ],USCIRE, CONGIUNTIVO, PRESENTE, che io esca, che tu esca, che lui/lei esca, che noi usciamo, che voi usciate, che loro escano
[to exit/leave ],USCIRE, CONGIUNTIVO, IMPERFETTO, che io uscissi, che tu uscissi, che lui/lei uscisse, che noi uscissimo, che voi usciste, che loro uscissero
[to exit/leave ],USCIRE, CONGIUNTIVO, PASSATO, che io sia uscito/a, che tu sia uscito/a, che lui/lei sia uscito/a, che noi siamo usciti/e, che voi siate usciti/e, che loro siano usciti/e
[to exit/leave ],USCIRE, CONGIUNTIVO, TRAPASSATO, che io fossi uscito/a, che tu fossi uscito/a, che lui/lei fosse uscito/a, che noi fossimo usciti/e, che voi foste usciti/e, che loro fossero usciti/e
[to exit/leave ],USCIRE, CONDIZIONALE, Presente, io uscirei, tu usciresti, lui/lei uscirebbe, noi usciremmo, voi uscireste, loro uscirebbero
[to exit/leave ],USCIRE, CONDIZIONALE, Passato, io sarei uscito/a, tu saresti uscito/a, lui/lei sarebbe uscito/a, noi saremmo usciti/e, voi sareste usciti/e, loro sarebbero usciti/e
[to exit/leave ],USCIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  esci, esca, usciamo, uscite, escano
[to prefer ],PREFERIRE, INDICATIVO, PRESENTE, io preferisco, tu preferisci, lui/lei preferisce, noi preferiamo, voi preferite, loro preferiscono
[to prefer ],PREFERIRE, INDICATIVO, IMPERFETTO, io preferivo, tu preferivi, lui/lei preferiva, noi preferivamo, voi preferivate, loro preferivano
[to prefer ],PREFERIRE, INDICATIVO, PASSATO REMOTO, io preferii, tu preferisti, lui/lei preferì, noi preferimmo, voi preferiste, loro preferirono
[to prefer ],PREFERIRE, INDICATIVO, FUTURO SEMPLICE, io preferirò, tu preferirai, lui/lei preferirà, noi preferiremo, voi preferirete, loro preferiranno
[to prefer ],PREFERIRE, INDICATIVO, PASSATO PROSSIMO, io ho preferito, tu hai preferito, lui/lei ha preferito, noi abbiamo preferito, voi avete preferito, loro hanno preferito
[to prefer ],PREFERIRE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo preferito, tu avevi preferito, lui/lei aveva preferito, noi avevamo preferito, voi avevate preferito, loro avevano preferito
[to prefer ],PREFERIRE, INDICATIVO, TRAPASSATO REMOTO, io ebbi preferito, tu avesti preferito, lui/lei ebbe preferito, noi avemmo preferito, voi aveste preferito, loro ebbero preferito
[to prefer ],PREFERIRE, INDICATIVO, FUTURO ANTERIORE, io avrò preferito, tu avrai preferito, lui/lei avrà preferito, noi avremo preferito, voi avrete preferito, loro avranno preferito
[to prefer ],PREFERIRE, CONGIUNTIVO, PRESENTE, che io preferisca, che tu preferisca, che lui/lei preferisca, che noi preferiamo, che voi preferiate, che loro preferiscano
[to prefer ],PREFERIRE, CONGIUNTIVO, IMPERFETTO, che io preferissi, che tu preferissi, che lui/lei preferisse, che noi preferissimo, che voi preferiste, che loro preferissero
[to prefer ],PREFERIRE, CONGIUNTIVO, PASSATO, che io abbia preferito, che tu abbia preferito, che lui/lei abbia preferito, che noi abbiamo preferito, che voi abbiate preferito, che loro abbiano preferito
[to prefer ],PREFERIRE, CONGIUNTIVO, TRAPASSATO, che io avessi preferito, che tu avessi preferito, che lui/lei avesse preferito, che noi avessimo preferito, che voi aveste preferito, che loro avessero preferito
[to prefer ],PREFERIRE, CONDIZIONALE, Presente, io preferirei, tu preferiresti, lui/lei preferirebbe, noi preferiremmo, voi preferireste, loro preferirebbero
[to prefer ],PREFERIRE, CONDIZIONALE, Passato, io avrei preferito, tu avresti preferito, lui/lei avrebbe preferito, noi avremmo preferito, voi avreste preferito, loro avrebbero preferito
[to prefer ],PREFERIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  preferisci, preferisca, preferiamo, preferite, preferiscano
[to say ],DIRE, INDICATIVO, PRESENTE, io dico, tu dici, lui/lei dice, noi diciamo, voi dite, loro dicono
[to say ],DIRE, INDICATIVO, IMPERFETTO, io dicevo, tu dicevi, lui/lei diceva, noi dicevamo, voi dicevate, loro dicevano
[to say ],DIRE, INDICATIVO, PASSATO REMOTO, io dissi, tu dicesti, lui/lei disse, noi dicemmo, voi diceste, loro dissero
[to say ],DIRE, INDICATIVO, FUTURO SEMPLICE, io dirò, tu dirai, lui/lei dirà, noi diremo, voi direte, loro diranno
[to say ],DIRE, INDICATIVO, PASSATO PROSSIMO, io sono detto/a, tu sei detto/a, lui/lei è detto/a, noi siamo detti/e, voi siete detti/e, loro sono detti/e
[to say ],DIRE, INDICATIVO, TRAPASSATO PROSSIMO, io ero detto/a, tu eri detto/a, lui/lei era detto/a, noi eravamo detti/e, voi eravate detti/e, loro erano detti/e
[to say ],DIRE, INDICATIVO, TRAPASSATO REMOTO, io fui detto/a, tu fosti detto/a, lui/lei fu detto/a, noi fummo detti/e, voi foste detti/e, loro furono detti/e
[to say ],DIRE, INDICATIVO, FUTURO ANTERIORE, io sarò detto/a, tu sarai detto/a, lui/lei sarà detto/a, noi saremo detti/e, voi sarete detti/e, loro saranno detti/e
[to say ],DIRE, CONGIUNTIVO, PRESENTE, che io dica, che tu dica, che lui/lei dica, che noi diciamo, che voi diciate, che loro dicano
[to say ],DIRE, CONGIUNTIVO, IMPERFETTO, che io dicessi, che tu dicessi, che lui/lei dicesse, che noi dicessimo, che voi diceste, che loro dicessero
[to say ],DIRE, CONGIUNTIVO, PASSATO, che io sia detto/a, che tu sia detto/a, che lui/lei sia detto/a, che noi siamo detti/e, che voi siate detti/e, che loro siano detti/e
[to say ],DIRE, CONGIUNTIVO, TRAPASSATO, che io fossi detto/a, che tu fossi detto/a, che lui/lei fosse detto/a, che noi fossimo detti/e, che voi foste detti/e, che loro fossero detti/e
[to say ],DIRE, CONDIZIONALE, Presente, io direi, tu diresti, lui/lei direbbe, noi diremmo, voi direste, loro direbbero
[to say ],DIRE, CONDIZIONALE, Passato, io sarei detto/a, tu saresti detto/a, lui/lei sarebbe detto/a, noi saremmo detti/e, voi sareste detti/e, loro sarebbero detti/e
[to say ],DIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  dì, di', dica, diciamo, dite
[to sleep ],DORMIRE, INDICATIVO, PRESENTE, io dormo, tu dormi, lui/lei dorme, noi dormiamo, voi dormite, loro dormono
[to sleep ],DORMIRE, INDICATIVO, IMPERFETTO, io dormivo, tu dormivi, lui/lei dormiva, noi dormivamo, voi dormivate, loro dormivano
[to sleep ],DORMIRE, INDICATIVO, PASSATO REMOTO, io dormii, tu dormisti, lui/lei dormì, noi dormimmo, voi dormiste, loro dormirono
[to sleep ],DORMIRE, INDICATIVO, FUTURO SEMPLICE, io dormirò, tu dormirai, lui/lei dormirà, noi dormiremo, voi dormirete, loro dormiranno
[to sleep ],DORMIRE, INDICATIVO, PASSATO PROSSIMO, io ho dormito, tu hai dormito, lui/lei ha dormito, noi abbiamo dormito, voi avete dormito, loro hanno dormito
[to sleep ],DORMIRE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo dormito, tu avevi dormito, lui/lei aveva dormito, noi avevamo dormito, voi avevate dormito, loro avevano dormito
[to sleep ],DORMIRE, INDICATIVO, TRAPASSATO REMOTO, io ebbi dormito, tu avesti dormito, lui/lei ebbe dormito, noi avemmo dormito, voi aveste dormito, loro ebbero dormito
[to sleep ],DORMIRE, INDICATIVO, FUTURO ANTERIORE, io avrò dormito, tu avrai dormito, lui/lei avrà dormito, noi avremo dormito, voi avrete dormito, loro avranno dormito
[to sleep ],DORMIRE, CONGIUNTIVO, PRESENTE, che io dorma, che tu dorma, che lui/lei dorma, che noi dormiamo, che voi dormiate, che loro dormano
[to sleep ],DORMIRE, CONGIUNTIVO, IMPERFETTO, che io dormissi, che tu dormissi, che lui/lei dormisse, che noi dormissimo, che voi dormiste, che loro dormissero
[to sleep ],DORMIRE, CONGIUNTIVO, PASSATO, che io abbia dormito, che tu abbia dormito, che lui/lei abbia dormito, che noi abbiamo dormito, che voi abbiate dormito, che loro abbiano dormito
[to sleep ],DORMIRE, CONGIUNTIVO, TRAPASSATO, che io avessi dormito, che tu avessi dormito, che lui/lei avesse dormito, che noi avessimo dormito, che voi aveste dormito, che loro avessero dormito
[to sleep ],DORMIRE, CONDIZIONALE, Presente, io dormirei, tu dormiresti, lui/lei dormirebbe, noi dormiremmo, voi dormireste, loro dormirebbero
[to sleep ],DORMIRE, CONDIZIONALE, Passato, io avrei dormito, tu avresti dormito, lui/lei avrebbe dormito, noi avremmo dormito, voi avreste dormito, loro avrebbero dormito
[to sleep ],DORMIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  dormi, dorma, dormiamo, dormite, dormano
[to have/possess ],AVERE, INDICATIVO, PRESENTE, io ho, tu hai, lui/lei ha, noi abbiamo, voi avete, loro hanno
[to have/possess ],AVERE, INDICATIVO, IMPERFETTO, io avevo, tu avevi, lui/lei aveva, noi avevamo, voi avevate, loro avevano
[to have/possess ],AVERE, INDICATIVO, PASSATO REMOTO, io ebbi, tu avesti, lui/lei ebbe, noi avemmo, voi aveste, loro ebbero
[to have/possess ],AVERE, INDICATIVO, FUTURO SEMPLICE, io avrò, tu avrai, lui/lei avrà, noi avremo, voi avrete, loro avranno
[to have/possess ],AVERE, INDICATIVO, PASSATO PROSSIMO, io ho avuto, tu hai avuto, lui/lei ha avuto, noi abbiamo avuto, voi avete avuto, loro hanno avuto
[to have/possess ],AVERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo avuto, tu avevi avuto, lui/lei aveva avuto, noi avevamo avuto, voi avevate avuto, loro avevano avuto
[to have/possess ],AVERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi avuto, tu avesti avuto, lui/lei ebbe avuto, noi avemmo avuto, voi aveste avuto, loro ebbero avuto
[to have/possess ],AVERE, INDICATIVO, FUTURO ANTERIORE, io avrò avuto, tu avrai avuto, lui/lei avrà avuto, noi avremo avuto, voi avrete avuto, loro avranno avuto
[to have/possess ],AVERE, CONGIUNTIVO, PRESENTE, che io abbia, che tu abbia, che lui/lei abbia, che noi abbiamo, che voi abbiate, che loro abbiano
[to have/possess ],AVERE, CONGIUNTIVO, IMPERFETTO, che io avessi, che tu avessi, che lui/lei avesse, che noi avessimo, che voi aveste, che loro avessero
[to have/possess ],AVERE, CONGIUNTIVO, PASSATO, che io abbia avuto, che tu abbia avuto, che lui/lei abbia avuto, che noi abbiamo avuto, che voi abbiate avuto, che loro abbiano avuto
[to have/possess ],AVERE, CONGIUNTIVO, TRAPASSATO, che io avessi avuto, che tu avessi avuto, che lui/lei avesse avuto, che noi avessimo avuto, che voi aveste avuto, che loro avessero avuto
[to have/possess ],AVERE, CONDIZIONALE, Presente, io avrei, tu avresti, lui/lei avrebbe, noi avremmo, voi avreste, loro avrebbero
[to have/possess ],AVERE, CONDIZIONALE, Passato, io avrei avuto, tu avresti avuto, lui/lei avrebbe avuto, noi avremmo avuto, voi avreste avuto, loro avrebbero avuto
[to have/possess ],AVERE, IMPERATIVO, IMPERATIVO, PRESENTE,  abbi, abbia, abbiamo, abbiate, abbiano
[to read ],LEGGERE, INDICATIVO, PRESENTE, io leggo, tu leggi, lui/lei legge, noi leggiamo, voi leggete, loro leggono
[to read ],LEGGERE, INDICATIVO, IMPERFETTO, io leggevo, tu leggevi, lui/lei leggeva, noi leggevamo, voi leggevate, loro leggevano
[to read ],LEGGERE, INDICATIVO, PASSATO REMOTO, io lessi, tu leggesti, lui/lei lesse, noi leggemmo, voi leggeste, loro lessero
[to read ],LEGGERE, INDICATIVO, FUTURO SEMPLICE, io leggerò, tu leggerai, lui/lei leggerà, noi leggeremo, voi leggerete, loro leggeranno
[to read ],LEGGERE, INDICATIVO, PASSATO PROSSIMO, io ho letto, tu hai letto, lui/lei ha letto, noi abbiamo letto, voi avete letto, loro hanno letto
[to read ],LEGGERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo letto, tu avevi letto, lui/lei aveva letto, noi avevamo letto, voi avevate letto, loro avevano letto
[to read ],LEGGERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi letto, tu avesti letto, lui/lei ebbe letto, noi avemmo letto, voi aveste letto, loro ebbero letto
[to read ],LEGGERE, INDICATIVO, FUTURO ANTERIORE, io avrò letto, tu avrai letto, lui/lei avrà letto, noi avremo letto, voi avrete letto, loro avranno letto
[to read ],LEGGERE, CONGIUNTIVO, PRESENTE, che io legga, che tu legga, che lui/lei legga, che noi leggiamo, che voi leggiate, che loro leggano
[to read ],LEGGERE, CONGIUNTIVO, IMPERFETTO, che io leggessi, che tu leggessi, che lui/lei leggesse, che noi leggessimo, che voi leggeste, che loro leggessero
[to read ],LEGGERE, CONGIUNTIVO, PASSATO, che io abbia letto, che tu abbia letto, che lui/lei abbia letto, che noi abbiamo letto, che voi abbiate letto, che loro abbiano letto
[to read ],LEGGERE, CONGIUNTIVO, TRAPASSATO, che io avessi letto, che tu avessi letto, che lui/lei avesse letto, che noi avessimo letto, che voi aveste letto, che loro avessero letto
[to read ],LEGGERE, CONDIZIONALE, Presente, io leggerei, tu leggeresti, lui/lei leggerebbe, noi leggeremmo, voi leggereste, loro leggerebbero
[to read ],LEGGERE, CONDIZIONALE, Passato, io avrei letto, tu avresti letto, lui/lei avrebbe letto, noi avremmo letto, voi avreste letto, loro avrebbero letto
[to read ],LEGGERE, IMPERATIVO, IMPERATIVO, PRESENTE,  leggi, legga, leggiamo, leggete, leggano
[to take ],PRENDERE, INDICATIVO, PRESENTE, io prendo, tu prendi, lui/lei prende, noi prendiamo, voi prendete, loro prendono
[to take ],PRENDERE, INDICATIVO, IMPERFETTO, io prendevo, tu prendevi, lui/lei prendeva, noi prendevamo, voi prendevate, loro prendevano
[to take ],PRENDERE, INDICATIVO, PASSATO REMOTO, io presi, tu prendesti, lui/lei prese, noi prendemmo, voi prendeste, loro presero
[to take ],PRENDERE, INDICATIVO, FUTURO SEMPLICE, io prenderò, tu prenderai, lui/lei prenderà, noi prenderemo, voi prenderete, loro prenderanno
[to take ],PRENDERE, INDICATIVO, PASSATO PROSSIMO, io ho preso, tu hai preso, lui/lei ha preso, noi abbiamo preso, voi avete preso, loro hanno preso
[to take ],PRENDERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo preso, tu avevi preso, lui/lei aveva preso, noi avevamo preso, voi avevate preso, loro avevano preso
[to take ],PRENDERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi preso, tu avesti preso, lui/lei ebbe preso, noi avemmo preso, voi aveste preso, loro ebbero preso
[to take ],PRENDERE, INDICATIVO, FUTURO ANTERIORE, io avrò preso, tu avrai preso, lui/lei avrà preso, noi avremo preso, voi avrete preso, loro avranno preso
[to take ],PRENDERE, CONGIUNTIVO, PRESENTE, che io prenda, che tu prenda, che lui/lei prenda, che noi prendiamo, che voi prendiate, che loro prendano
[to take ],PRENDERE, CONGIUNTIVO, IMPERFETTO, che io prendessi, che tu prendessi, che lui/lei prendesse, che noi prendessimo, che voi prendeste, che loro prendessero
[to take ],PRENDERE, CONGIUNTIVO, PASSATO, che io abbia preso, che tu abbia preso, che lui/lei abbia preso, che noi abbiamo preso, che voi abbiate preso, che loro abbiano preso
[to take ],PRENDERE, CONGIUNTIVO, TRAPASSATO, che io avessi preso, che tu avessi preso, che lui/lei avesse preso, che noi avessimo preso, che voi aveste preso, che loro avessero preso
[to take ],PRENDERE, CONDIZIONALE, Presente, io prenderei, tu prenderesti, lui/lei prenderebbe, noi prenderemmo, voi prendereste, loro prenderebbero
[to take ],PRENDERE, CONDIZIONALE, Passato, io avrei preso, tu avresti preso, lui/lei avrebbe preso, noi avremmo preso, voi avreste preso, loro avrebbero preso
[to take ],PRENDERE, IMPERATIVO, IMPERATIVO, PRESENTE,  prendi, prenda, prendiamo, prendete, prendano
[to want ],VOLERE, INDICATIVO, PRESENTE, io voglio, tu vuoi, lui/lei vuole, noi vogliamo, voi volete, loro vogliono
[to want ],VOLERE, INDICATIVO, IMPERFETTO, io volevo, tu volevi, lui/lei voleva, noi volevamo, voi volevate, loro volevano
[to want ],VOLERE, INDICATIVO, PASSATO REMOTO, io volli, tu volesti, lui/lei volle, noi volemmo, voi voleste, loro vollero
[to want ],VOLERE, INDICATIVO, FUTURO SEMPLICE, io vorrò, tu vorrai, lui/lei vorrà, noi vorremo, voi vorrete, loro vorranno
[to want ],VOLERE, INDICATIVO, PASSATO PROSSIMO, io ho voluto, tu hai voluto, lui/lei ha voluto, noi abbiamo voluto, voi avete voluto, loro hanno voluto
[to want ],VOLERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo voluto, tu avevi voluto, lui/lei aveva voluto, noi avevamo voluto, voi avevate voluto, loro avevano voluto
