Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to marry,heiraten,heiratend,geheiratet,heiraten - heiratet - heiratete - hat geheiratet,ich,heirate,heiratest,heiratet,heiraten,heiratet,heiraten,ich,habe geheiratet,hast geheiratet,hat geheiratet,haben geheiratet,habt geheiratet,haben geheiratet,ich,heiratete,heiratetest,heiratete,heirateten,heiratetet,heirateten,ich,hatte geheiratet,hattest geheiratet,hatte geheiratet,hatten geheiratet,hattet geheiratet,hatten geheiratet,ich,werde heiraten,wirst heiraten,wird heiraten,werden heiraten,werdet heiraten,werden heiraten,ich,werde geheiratet haben,wirst geheiratet haben,wird geheiratet haben,werden geheiratet haben,werdet geheiratet haben,werden geheiratet haben,ich,heirate,heiratest,heirate,heiraten,heiratet,heiraten,ich,habe geheiratet,habest geheiratet,habe geheiratet,haben geheiratet,habet geheiratet,haben geheiratet,ich,heiratete,heiratetest,heiratete,heirateten,heiratetet,heirateten,ich,hätte geheiratet,hättest geheiratet,hätte geheiratet,hätten geheiratet,hättet geheiratet,hätten geheiratet,ich,würde heiraten,würdest heiraten,würde heiraten,würden heiraten,würdet heiraten,würden heiraten,ich,würde geheiratet haben,würdest geheiratet haben,würde geheiratet haben,würden geheiratet haben,würdet geheiratet haben,würden geheiratet haben,du,heirate,ihr,heiratet,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[we/they/you] are called,heißen,heißend,geheißen,heißen - heißt - hieß - hat geheißen,ich,heiße,heißt,heißt,heißen,heißt,heißen,ich,habe geheißen,hast geheißen,hat geheißen,haben geheißen,habt geheißen,haben geheißen,ich,hieß,hießest,hieß,hießen,hießt,hießen,ich,hatte geheißen,hattest geheißen,hatte geheißen,hatten geheißen,hattet geheißen,hatten geheißen,ich,werde heißen,wirst heißen,wird heißen,werden heißen,werdet heißen,werden heißen,ich,werde geheißen haben,wirst geheißen haben,wird geheißen haben,werden geheißen haben,werdet geheißen haben,werden geheißen haben,ich,heiße,heißest,heiße,heißen,heißet,heißen,ich,habe geheißen,habest geheißen,habe geheißen,haben geheißen,habet geheißen,haben geheißen,ich,hieße,hießest,hieße,hießen,hießet,hießen,ich,hätte geheißen,hättest geheißen,hätte geheißen,hätten geheißen,hättet geheißen,hätten geheißen,ich,würde heißen,würdest heißen,würde heißen,würden heißen,würdet heißen,würden heißen,ich,würde geheißen haben,würdest geheißen haben,würde geheißen haben,würden geheißen haben,würdet geheißen haben,würden geheißen haben,du,heiß,heiße,ihr,heißt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med. to cure (sth.),heilen,heilend,geheilt,heilen - heilt - heilte - hat geheilt,ich,heile,heilst,heilt,heilen,heilt,heilen,ich,habe geheilt,hast geheilt,hat geheilt,haben geheilt,habt geheilt,haben geheilt,ich,heilte,heiltest,heilte,heilten,heiltet,heilten,ich,hatte geheilt,hattest geheilt,hatte geheilt,hatten geheilt,hattet geheilt,hatten geheilt,ich,werde heilen,wirst heilen,wird heilen,werden heilen,werdet heilen,werden heilen,ich,werde geheilt haben,wirst geheilt haben,wird geheilt haben,werden geheilt haben,werdet geheilt haben,werden geheilt haben,ich,heile,heilest,heile,heilen,heilet,heilen,ich,habe geheilt,habest geheilt,habe geheilt,haben geheilt,habet geheilt,haben geheilt,ich,heilte,heiltest,heilte,heilten,heiltet,heilten,ich,hätte geheilt,hättest geheilt,hätte geheilt,hätten geheilt,hättet geheilt,hätten geheilt,ich,würde heilen,würdest heilen,würde heilen,würden heilen,würdet heilen,würden heilen,ich,würde geheilt haben,würdest geheilt haben,würde geheilt haben,würden geheilt haben,würdet geheilt haben,würden geheilt haben,du,heile,ihr,heilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to heat,heizen,heizend,geheizt,heizen - heizt - heizte - hat geheizt,ich,heize,heizt,heizt,heizen,heizt,heizen,ich,habe geheizt,hast geheizt,hat geheizt,haben geheizt,habt geheizt,haben geheizt,ich,heizte,heiztest,heizte,heizten,heiztet,heizten,ich,hatte geheizt,hattest geheizt,hatte geheizt,hatten geheizt,hattet geheizt,hatten geheizt,ich,werde heizen,wirst heizen,wird heizen,werden heizen,werdet heizen,werden heizen,ich,werde geheizt haben,wirst geheizt haben,wird geheizt haben,werden geheizt haben,werdet geheizt haben,werden geheizt haben,ich,heize,heizest,heize,heizen,heizet,heizen,ich,habe geheizt,habest geheizt,habe geheizt,haben geheizt,habet geheizt,haben geheizt,ich,heizte,heiztest,heizte,heizten,heiztet,heizten,ich,hätte geheizt,hättest geheizt,hätte geheizt,hätten geheizt,hättet geheizt,hätten geheizt,ich,würde heizen,würdest heizen,würde heizen,würden heizen,würdet heizen,würden heizen,ich,würde geheizt haben,würdest geheizt haben,würde geheizt haben,würden geheizt haben,würdet geheizt haben,würden geheizt haben,du,heize,ihr,heizt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to glean [information],herausbekommen,herausbekommend,herausbekommen,herausbekommen - bekommt heraus - bekam heraus - hat herausbekommen,ich,bekomme heraus,bekommst heraus,bekommt heraus,bekommen heraus,bekommt heraus,bekommen heraus,ich,habe herausbekommen,hast herausbekommen,hat herausbekommen,haben herausbekommen,habt herausbekommen,haben herausbekommen,ich,bekam heraus,bekamst heraus,bekam heraus,bekamen heraus,bekamt heraus,bekamen heraus,ich,hatte herausbekommen,hattest herausbekommen,hatte herausbekommen,hatten herausbekommen,hattet herausbekommen,hatten herausbekommen,ich,werde herausbekommen,wirst herausbekommen,wird herausbekommen,werden herausbekommen,werdet herausbekommen,werden herausbekommen,ich,werde herausbekommen haben,wirst herausbekommen haben,wird herausbekommen haben,werden herausbekommen haben,werdet herausbekommen haben,werden herausbekommen haben,ich,bekomme heraus,bekommest heraus,bekomme heraus,bekommen heraus,bekommet heraus,bekommen heraus,ich,habe herausbekommen,habest herausbekommen,habe herausbekommen,haben herausbekommen,habet herausbekommen,haben herausbekommen,ich,bekäme heraus,bekämest heraus,bekäme heraus,bekämen heraus,bekämet heraus,bekämen heraus,ich,hätte herausbekommen,hättest herausbekommen,hätte herausbekommen,hätten herausbekommen,hättet herausbekommen,hätten herausbekommen,ich,würde herausbekommen,würdest herausbekommen,würde herausbekommen,würden herausbekommen,würdet herausbekommen,würden herausbekommen,ich,würde herausbekommen haben,würdest herausbekommen haben,würde herausbekommen haben,würden herausbekommen haben,würdet herausbekommen haben,würden herausbekommen haben,du,bekomme heraus,bekomm heraus,ihr,bekommt heraus,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to hustle (sb.) [hurry],hetzen,hetzend,gehetzt,hetzen - hetzt - hetzte - hat gehetzt,ich,hetze,hetzt,hetzt,hetzen,hetzt,hetzen,ich,habe gehetzt,hast gehetzt,hat gehetzt,haben gehetzt,habt gehetzt,haben gehetzt,ich,hetzte,hetztest,hetzte,hetzten,hetztet,hetzten,ich,hatte gehetzt,hattest gehetzt,hatte gehetzt,hatten gehetzt,hattet gehetzt,hatten gehetzt,ich,werde hetzen,wirst hetzen,wird hetzen,werden hetzen,werdet hetzen,werden hetzen,ich,werde gehetzt haben,wirst gehetzt haben,wird gehetzt haben,werden gehetzt haben,werdet gehetzt haben,werden gehetzt haben,ich,hetze,hetzest,hetze,hetzen,hetzet,hetzen,ich,habe gehetzt,habest gehetzt,habe gehetzt,haben gehetzt,habet gehetzt,haben gehetzt,ich,hetzte,hetztest,hetzte,hetzten,hetztet,hetzten,ich,hätte gehetzt,hättest gehetzt,hätte gehetzt,hätten gehetzt,hättet gehetzt,hätten gehetzt,ich,würde hetzen,würdest hetzen,würde hetzen,würden hetzen,würdet hetzen,würden hetzen,ich,würde gehetzt haben,würdest gehetzt haben,würde gehetzt haben,würden gehetzt haben,würdet gehetzt haben,würden gehetzt haben,du,hetze,ihr,hetzt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to howl,heulen,heulend,geheult,heulen - heult - heulte - hat geheult,ich,heule,heulst,heult,heulen,heult,heulen,ich,habe geheult,hast geheult,hat geheult,haben geheult,habt geheult,haben geheult,ich,heulte,heultest,heulte,heulten,heultet,heulten,ich,hatte geheult,hattest geheult,hatte geheult,hatten geheult,hattet geheult,hatten geheult,ich,werde heulen,wirst heulen,wird heulen,werden heulen,werdet heulen,werden heulen,ich,werde geheult haben,wirst geheult haben,wird geheult haben,werden geheult haben,werdet geheult haben,werden geheult haben,ich,heule,heulest,heule,heulen,heulet,heulen,ich,habe geheult,habest geheult,habe geheult,haben geheult,habet geheult,haben geheult,ich,heulte,heultest,heulte,heulten,heultet,heulten,ich,hätte geheult,hättest geheult,hätte geheult,hätten geheult,hättet geheult,hätten geheult,ich,würde heulen,würdest heulen,würde heulen,würden heulen,würdet heulen,würden heulen,ich,würde geheult haben,würdest geheult haben,würde geheult haben,würden geheult haben,würdet geheult haben,würden geheult haben,du,heule,ihr,heult,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to hope,hoffen,hoffend,gehofft,hoffen - hofft - hoffte - hat gehofft,ich,hoffe,hoffst,hofft,hoffen,hofft,hoffen,ich,habe gehofft,hast gehofft,hat gehofft,haben gehofft,habt gehofft,haben gehofft,ich,hoffte,hofftest,hoffte,hofften,hofftet,hofften,ich,hatte gehofft,hattest gehofft,hatte gehofft,hatten gehofft,hattet gehofft,hatten gehofft,ich,werde hoffen,wirst hoffen,wird hoffen,werden hoffen,werdet hoffen,werden hoffen,ich,werde gehofft haben,wirst gehofft haben,wird gehofft haben,werden gehofft haben,werdet gehofft haben,werden gehofft haben,ich,hoffe,hoffest,hoffe,hoffen,hoffet,hoffen,ich,habe gehofft,habest gehofft,habe gehofft,haben gehofft,habet gehofft,haben gehofft,ich,hoffte,hofftest,hoffte,hofften,hofftet,hofften,ich,hätte gehofft,hättest gehofft,hätte gehofft,hätten gehofft,hättet gehofft,hätten gehofft,ich,würde hoffen,würdest hoffen,würde hoffen,würden hoffen,würdet hoffen,würden hoffen,ich,würde gehofft haben,würdest gehofft haben,würde gehofft haben,würden gehofft haben,würdet gehofft haben,würden gehofft haben,du,hoffe,ihr,hofft,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to hear,hören,hörend,gehört,hören - hört - hörte - hat gehört,ich,höre,hörst,hört,hören,hört,hören,ich,habe gehört,hast gehört,hat gehört,haben gehört,habt gehört,haben gehört,ich,hörte,hörtest,hörte,hörten,hörtet,hörten,ich,hatte gehört,hattest gehört,hatte gehört,hatten gehört,hattet gehört,hatten gehört,ich,werde hören,wirst hören,wird hören,werden hören,werdet hören,werden hören,ich,werde gehört haben,wirst gehört haben,wird gehört haben,werden gehört haben,werdet gehört haben,werden gehört haben,ich,höre,hörest,höre,hören,höret,hören,ich,habe gehört,habest gehört,habe gehört,haben gehört,habet gehört,haben gehört,ich,hörte,hörtest,hörte,hörten,hörtet,hörten,ich,hätte gehört,hättest gehört,hätte gehört,hätten gehört,hättet gehört,hätten gehört,ich,würde hören,würdest hören,würde hören,würden hören,würdet hören,würden hören,ich,würde gehört haben,würdest gehört haben,würde gehört haben,würden gehört haben,würdet gehört haben,würden gehört haben,du,höre,ihr,hört,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to hop,hüpfen,hüpfend,gehüpft,hüpfen - hüpft - hüpfte - hat gehüpft,ich,hüpfe,hüpfst,hüpft,hüpfen,hüpft,hüpfen,ich,habe gehüpft,hast gehüpft,hat gehüpft,haben gehüpft,habt gehüpft,haben gehüpft,ich,hüpfte,hüpftest,hüpfte,hüpften,hüpftet,hüpften,ich,hatte gehüpft,hattest gehüpft,hatte gehüpft,hatten gehüpft,hattet gehüpft,hatten gehüpft,ich,werde hüpfen,wirst hüpfen,wird hüpfen,werden hüpfen,werdet hüpfen,werden hüpfen,ich,werde gehüpft haben,wirst gehüpft haben,wird gehüpft haben,werden gehüpft haben,werdet gehüpft haben,werden gehüpft haben,ich,hüpfe,hüpfest,hüpfe,hüpfen,hüpfet,hüpfen,ich,habe gehüpft,habest gehüpft,habe gehüpft,haben gehüpft,habet gehüpft,haben gehüpft,ich,hüpfte,hüpftest,hüpfte,hüpften,hüpftet,hüpften,ich,hätte gehüpft,hättest gehüpft,hätte gehüpft,hätten gehüpft,hättet gehüpft,hätten gehüpft,ich,würde hüpfen,würdest hüpfen,würde hüpfen,würden hüpfen,würdet hüpfen,würden hüpfen,ich,würde gehüpft haben,würdest gehüpft haben,würde gehüpft haben,würden gehüpft haben,würdet gehüpft haben,würden gehüpft haben,du,hüpfe,ihr,hüpft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to cough,husten,hustend,gehustet,husten - hustet - hustete - hat gehustet,ich,huste,hustest,hustet,husten,hustet,husten,ich,habe gehustet,hast gehustet,hat gehustet,haben gehustet,habt gehustet,haben gehustet,ich,hustete,hustetest,hustete,husteten,hustetet,husteten,ich,hatte gehustet,hattest gehustet,hatte gehustet,hatten gehustet,hattet gehustet,hatten gehustet,ich,werde husten,wirst husten,wird husten,werden husten,werdet husten,werden husten,ich,werde gehustet haben,wirst gehustet haben,wird gehustet haben,werden gehustet haben,werdet gehustet haben,werden gehustet haben,ich,huste,hustest,huste,husten,hustet,husten,ich,habe gehustet,habest gehustet,habe gehustet,haben gehustet,habet gehustet,haben gehustet,ich,hustete,hustetest,hustete,husteten,hustetet,husteten,ich,hätte gehustet,hättest gehustet,hätte gehustet,hätten gehustet,hättet gehustet,hätten gehustet,ich,würde husten,würdest husten,würde husten,würden husten,würdet husten,würden husten,ich,würde gehustet haben,würdest gehustet haben,würde gehustet haben,würden gehustet haben,würdet gehustet haben,würden gehustet haben,du,huste,ihr,hustet,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to identify,identifizieren,identifizierend,identifiziert,identifizieren - identifiziert - identifizierte - hat identifiziert,ich,identifiziere,identifizierst,identifiziert,identifizieren,identifiziert,identifizieren,ich,habe identifiziert,hast identifiziert,hat identifiziert,haben identifiziert,habt identifiziert,haben identifiziert,ich,identifizierte,identifiziertest,identifizierte,identifizierten,identifiziertet,identifizierten,ich,hatte identifiziert,hattest identifiziert,hatte identifiziert,hatten identifiziert,hattet identifiziert,hatten identifiziert,ich,werde identifizieren,wirst identifizieren,wird identifizieren,werden identifizieren,werdet identifizieren,werden identifizieren,ich,werde identifiziert haben,wirst identifiziert haben,wird identifiziert haben,werden identifiziert haben,werdet identifiziert haben,werden identifiziert haben,ich,identifiziere,identifizierest,identifiziere,identifizieren,identifizieret,identifizieren,ich,habe identifiziert,habest identifiziert,habe identifiziert,haben identifiziert,habet identifiziert,haben identifiziert,ich,identifizierte,identifiziertest,identifizierte,identifizierten,identifiziertet,identifizierten,ich,hätte identifiziert,hättest identifiziert,hätte identifiziert,hätten identifiziert,hättet identifiziert,hätten identifiziert,ich,würde identifizieren,würdest identifizieren,würde identifizieren,würden identifizieren,würdet identifizieren,würden identifizieren,ich,würde identifiziert haben,würdest identifiziert haben,würde identifiziert haben,würden identifiziert haben,würdet identifiziert haben,würden identifiziert haben,du,identifiziere,ihr,identifiziert,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to enroll [Am.],immatrikulieren,immatrikulierend,immatrikuliert,immatrikulieren - immatrikuliert - immatrikulierte - hat immatrikuliert,ich,immatrikuliere,immatrikulierst,immatrikuliert,immatrikulieren,immatrikuliert,immatrikulieren,ich,habe immatrikuliert,hast immatrikuliert,hat immatrikuliert,haben immatrikuliert,habt immatrikuliert,haben immatrikuliert,ich,immatrikulierte,immatrikuliertest,immatrikulierte,immatrikulierten,immatrikuliertet,immatrikulierten,ich,hatte immatrikuliert,hattest immatrikuliert,hatte immatrikuliert,hatten immatrikuliert,hattet immatrikuliert,hatten immatrikuliert,ich,werde immatrikulieren,wirst immatrikulieren,wird immatrikulieren,werden immatrikulieren,werdet immatrikulieren,werden immatrikulieren,ich,werde immatrikuliert haben,wirst immatrikuliert haben,wird immatrikuliert haben,werden immatrikuliert haben,werdet immatrikuliert haben,werden immatrikuliert haben,ich,immatrikuliere,immatrikulierest,immatrikuliere,immatrikulieren,immatrikulieret,immatrikulieren,ich,habe immatrikuliert,habest immatrikuliert,habe immatrikuliert,haben immatrikuliert,habet immatrikuliert,haben immatrikuliert,ich,immatrikulierte,immatrikuliertest,immatrikulierte,immatrikulierten,immatrikuliertet,immatrikulierten,ich,hätte immatrikuliert,hättest immatrikuliert,hätte immatrikuliert,hätten immatrikuliert,hättet immatrikuliert,hätten immatrikuliert,ich,würde immatrikulieren,würdest immatrikulieren,würde immatrikulieren,würden immatrikulieren,würdet immatrikulieren,würden immatrikulieren,ich,würde immatrikuliert haben,würdest immatrikuliert haben,würde immatrikuliert haben,würden immatrikuliert haben,würdet immatrikuliert haben,würden immatrikuliert haben,du,immatrikuliere,ihr,immatrikuliert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to vaccinate,impfen,impfend,geimpft,impfen - impft - impfte - hat geimpft,ich,impfe,impfst,impft,impfen,impft,impfen,ich,habe geimpft,hast geimpft,hat geimpft,haben geimpft,habt geimpft,haben geimpft,ich,impfte,impftest,impfte,impften,impftet,impften,ich,hatte geimpft,hattest geimpft,hatte geimpft,hatten geimpft,hattet geimpft,hatten geimpft,ich,werde impfen,wirst impfen,wird impfen,werden impfen,werdet impfen,werden impfen,ich,werde geimpft haben,wirst geimpft haben,wird geimpft haben,werden geimpft haben,werdet geimpft haben,werden geimpft haben,ich,impfe,impfest,impfe,impfen,impfet,impfen,ich,habe geimpft,habest geimpft,habe geimpft,haben geimpft,habet geimpft,haben geimpft,ich,impfte,impftest,impfte,impften,impftet,impften,ich,hätte geimpft,hättest geimpft,hätte geimpft,hätten geimpft,hättet geimpft,hätten geimpft,ich,würde impfen,würdest impfen,würde impfen,würden impfen,würdet impfen,würden impfen,ich,würde geimpft haben,würdest geimpft haben,würde geimpft haben,würden geimpft haben,würdet geimpft haben,würden geimpft haben,du,impfe,ihr,impft,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to impress sb.,imponieren,imponierend,imponiert,imponieren - imponiert - imponierte - hat imponiert,ich,imponiere,imponierst,imponiert,imponieren,imponiert,imponieren,ich,habe imponiert,hast imponiert,hat imponiert,haben imponiert,habt imponiert,haben imponiert,ich,imponierte,imponiertest,imponierte,imponierten,imponiertet,imponierten,ich,hatte imponiert,hattest imponiert,hatte imponiert,hatten imponiert,hattet imponiert,hatten imponiert,ich,werde imponieren,wirst imponieren,wird imponieren,werden imponieren,werdet imponieren,werden imponieren,ich,werde imponiert haben,wirst imponiert haben,wird imponiert haben,werden imponiert haben,werdet imponiert haben,werden imponiert haben,ich,imponiere,imponierest,imponiere,imponieren,imponieret,imponieren,ich,habe imponiert,habest imponiert,habe imponiert,haben imponiert,habet imponiert,haben imponiert,ich,imponierte,imponiertest,imponierte,imponierten,imponiertet,imponierten,ich,hätte imponiert,hättest imponiert,hätte imponiert,hätten imponiert,hättet imponiert,hätten imponiert,ich,würde imponieren,würdest imponieren,würde imponieren,würden imponieren,würdet imponieren,würden imponieren,ich,würde imponiert haben,würdest imponiert haben,würde imponiert haben,würden imponiert haben,würdet imponiert haben,würden imponiert haben,du,imponiere,ihr,imponiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comm. comp. to import,importieren,importierend,importiert,importieren - importiert - importierte - hat importiert,ich,importiere,importierst,importiert,importieren,importiert,importieren,ich,habe importiert,hast importiert,hat importiert,haben importiert,habt importiert,haben importiert,ich,importierte,importiertest,importierte,importierten,importiertet,importierten,ich,hatte importiert,hattest importiert,hatte importiert,hatten importiert,hattet importiert,hatten importiert,ich,werde importieren,wirst importieren,wird importieren,werden importieren,werdet importieren,werden importieren,ich,werde importiert haben,wirst importiert haben,wird importiert haben,werden importiert haben,werdet importiert haben,werden importiert haben,ich,importiere,importierest,importiere,importieren,importieret,importieren,ich,habe importiert,habest importiert,habe importiert,haben importiert,habet importiert,haben importiert,ich,importierte,importiertest,importierte,importierten,importiertet,importierten,ich,hätte importiert,hättest importiert,hätte importiert,hätten importiert,hättet importiert,hätten importiert,ich,würde importieren,würdest importieren,würde importieren,würden importieren,würdet importieren,würden importieren,ich,würde importiert haben,würdest importiert haben,würde importiert haben,würden importiert haben,würdet importiert haben,würden importiert haben,du,importiere,ihr,importiert,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
